;sampling moment;location;coverage;density
1;dez/15;inside the marina;0;0
2;dez/15;inside the marina;41;643,2820219
3;dez/15;inside the marina;5;103,5166472
4;dez/15;inside the marina;2;22,18213869
5;dez/15;inside the marina;14;140,4868783
6;dez/15;inside the marina;13;177,4571095
7;dez/15;inside the marina;16;155,2749708
8;dez/15;inside the marina;10;88,72855475
9;dez/15;inside the marina;17;118,3047397
10;dez/15;inside the marina;24;510,1891898
11;dez/15;inside the marina;5;59,15236983
12;dez/15;inside the marina;8;66,54641606
13;dez/15;inside the marina;0;0
14;dez/15;inside the marina;0;0
15;dez/15;inside the marina;9;110,9106934
16;dez/15;inside the marina;2;36,97023114
17;dez/15;inside the marina;0;0
18;dez/15;inside the marina;11;88,72855475
19;dez/15;inside the marina;0;0
20;dez/15;inside the marina;0;0
21;dez/15;breakwater;0;0
22;dez/15;breakwater;1;14,78809246
23;dez/15;breakwater;0;0
24;dez/15;breakwater;0;0
25;dez/15;breakwater;0;0
26;dez/15;breakwater;0;0
27;dez/15;breakwater;0;0
28;dez/15;breakwater;0;0
29;dez/15;breakwater;0;0
30;dez/15;breakwater;0;0
31;dez/15;breakwater;0;0
32;dez/15;breakwater;0;0
33;dez/15;breakwater;0;0
34;dez/15;breakwater;0;0
35;dez/15;breakwater;0;0
36;dez/15;breakwater;0;0
37;dez/15;breakwater;0;0
38;dez/15;breakwater;0;0
39;dez/15;breakwater;0;0
40;dez/15;breakwater;0;0
41;jun/16;inside the marina;16;131,3307584
42;jun/16;inside the marina;37;222,8643174
43;jun/16;inside the marina;31;222,8643174
44;jun/16;inside the marina;57;354,1950758
45;jun/16;inside the marina;60;338,276196
46;jun/16;inside the marina;35;246,7426371
47;jun/16;inside the marina;39;310,4181563
48;jun/16;inside the marina;45;254,702077
49;jun/16;inside the marina;22;167,148238
50;jun/16;inside the marina;22;159,1887981
51;jun/16;inside the marina;15;127,3510385
52;jun/16;inside the marina;30;230,8237573
53;jun/16;inside the marina;36;238,7831972
54;jun/16;inside the marina;39;222,8643174
55;jun/16;inside the marina;21;183,0671178
56;jun/16;inside the marina;38;294,4992765
57;jun/16;inside the marina;24;270,6209568
58;jun/16;inside the marina;22;107,4524387
59;jun/16;inside the marina;32;187,0468378
60;jun/16;inside the marina;29;75
61;jun/16;breakwater;17;235,2367792
62;jun/16;breakwater;0;0
63;jun/16;breakwater;2;7,97412811
64;jun/16;breakwater;1;7,97412811
65;jun/16;breakwater;1;3,987064055
66;jun/16;breakwater;0;0
67;jun/16;breakwater;0;0
68;jun/16;breakwater;3;7,97412811
69;jun/16;breakwater;1;7,97412811
70;jun/16;breakwater;3;11,96119216
71;jun/16;breakwater;7;19,93532027
72;jun/16;breakwater;3;11,96119216
73;jun/16;breakwater;0;3,987064055
74;jun/16;breakwater;0;0
75;jun/16;breakwater;0;3,987064055
76;jun/16;breakwater;0;0
77;jun/16;breakwater;0;0
78;jun/16;breakwater;2;15,94825622
79;jun/16;breakwater;1;7,97412811
80;jun/16;breakwater;25;94
81;jan/17;inside the marina;37;607,6246281
82;jan/17;inside the marina;57;1095,565617
83;jan/17;inside the marina;54;948,2626772
84;jan/17;inside the marina;48;1040,327015
85;jan/17;inside the marina;49;888,4208578
86;jan/17;inside the marina;41;754,9275683
87;jan/17;inside the marina;56;846,9919059
88;jan/17;inside the marina;33;441,9088204
89;jan/17;inside the marina;44;888,4208578
90;jan/17;inside the marina;3;23,0160844
91;jan/17;inside the marina;45;607,6246281
92;jan/17;inside the marina;28;322,2251816
93;jan/17;inside the marina;6;50,63538568
94;jan/17;inside the marina;1;9,206433759
95;jan/17;inside the marina;13;161,1125908
96;jan/17;inside the marina;5;36,82573504
97;jan/17;inside the marina;23;188,7318921
98;jan/17;inside the marina;15;124,2868558
99;jan/17;inside the marina;19;147,3029401
100;jan/17;inside the marina;7;69,04825319
101;jan/17;breakwater;0;0
102;jan/17;breakwater;0;0
103;jan/17;breakwater;2;8,996629784
104;jan/17;breakwater;0;0
105;jan/17;breakwater;4;31,48820425
106;jan/17;breakwater;0;0
107;jan/17;breakwater;0;0
108;jan/17;breakwater;3;17,99325957
109;jan/17;breakwater;0;0
110;jan/17;breakwater;0;4,498314892
111;jan/17;breakwater;0;0
112;jan/17;breakwater;0;0
113;jan/17;breakwater;19;269,8988935
114;jan/17;breakwater;45;674,7472338
115;jan/17;breakwater;22;404,8483403
116;jan/17;breakwater;1;8,996629784
117;jan/17;breakwater;2;8,996629784
118;jan/17;breakwater;2;26,98988935
119;jan/17;breakwater;1;4,498314892
120;jan/17;breakwater;0;0
121;jan/19;inside the marina;35;1822,544645
122;jan/19;inside the marina;8;178,3767099
123;jan/19;inside the marina;29;1078,015769
124;jan/19;inside the marina;23;620,4407301
125;jan/19;inside the marina;7;302,4648559
126;jan/19;inside the marina;56;969,4386407
127;jan/19;inside the marina;33;1419,25817
128;jan/19;inside the marina;42;1589,879371
129;jan/19;inside the marina;42;876,3725312
130;jan/19;inside the marina;60;1799,278117
131;jan/19;inside the marina;62;1838,055663
132;jan/19;inside the marina;52;1799,278117
133;jan/19;inside the marina;65;992,7051681
134;jan/19;inside the marina;58;1760,500572
135;jan/19;inside the marina;51;1876,833208
136;jan/19;inside the marina;46;2070,720937
137;jan/19;inside the marina;58;1869,077699
138;jan/19;breakwater;3;31,19232162
139;jan/19;breakwater;0;0
140;jan/19;breakwater;2;62,38464324
141;jan/19;breakwater;4;38,99040203
142;jan/19;breakwater;0;0
143;jan/19;breakwater;3;15,59616081
144;jan/19;breakwater;2;54,58656284
145;jan/19;breakwater;4;23,39424122
146;jan/19;breakwater;11;171,5577689
147;jan/19;breakwater;25;452,2886635
148;jan/19;breakwater;20;569,2598696
149;jan/19;breakwater;17;132,5673669
150;jan/19;breakwater;2;38,99040203
151;jan/19;breakwater;1;23,39424122
152;jan/19;breakwater;1;15,59616081
153;jan/19;breakwater;1;101,3750453
154;jan/19;breakwater;3;31,19232162
155;jan/19;breakwater;2;77,98080405
156;jan/19;breakwater;3;23,39424122
157;jan/19;breakwater;13;218,3462513
